Age,Birth Place,Birthday,College,Current Status,Experience (in seasons),Height (inches),Name,Position,Weight (lbs),Years Played
28,"Atlanta , GA",5/11/1989,Auburn,Active,7,77,"Newton, Cam",QB,245,
30,"Los Angeles , CA",9/7/1986,Arizona State,Retired,4,74,"Nolan, Troy",,202,2009 - 2013
36,"Atlanta , GA",7/23/1980,Georgia Tech,Retired,4,70,"Campbell, Kelly",,175,2002 - 2009
55,"Natrona Heights , PA",4/29/1962,Pittsburgh,Retired,1,76,"Christy, Greg",,285,1985 - 1985
30,,3/18/1987,Cal State-Fullerton,Retired,1,78,"Hardy, Andre",,245,2014 - 2014
38,,2/26/1979,Fresno State,Retired,1,70,"Marsh, Dante",,190,2001 - 2001
,"Chicago , IL",11/20/1903,Illinois,Retired,7,73,"Kassel, Chuck",,191,1927 - 1933
,"Iowa City , IA",3/3/1938,Iowa,Retired,7,73,"Norton, Don",,195,1960 - 1966
73,"Charleroi , PA",4/2/1944,Indiana,Retired,1,73,"Malinchak, Bill",,200,1966 - 1976
37,Melensee Germany,12/20/1979,Tennessee,Retired,2,75,"Ritzmann, Constantin",,254,2004 - 2005
,"Seward , NE",6/30/1902,Nebraska,Retired,6,76,"Weller, Bub",,224,1923 - 1928
27,"Atlanta , GA",10/18/1989,Tusculum,Retired,1,75,"Carter, Rashaad",,205,2013 - 2013
24,"Colorado Springs , CO",6/27/1992,Texas,Active,3,73,"Hicks, Jordan",MLB,236,
,"Marblehead , MA",1/17/1919,Michigan,Retired,1,75,"Ingalls, Bob",,200,1942 - 1942
,"Detroit , MI",6/9/1920,Western Michigan,Retired,5,74,"Matheson, Jack",,221,1943 - 1947
,"Roby , TX",6/5/1927,Texas A&M,Retired,5,76,"Goode, Rob",,222,1949 - 1955
46,"Kaunakaki , HI",1/30/1971,Boise State,Retired,1,76,"von Oelhoffen, Kimo",,299,1994 - 2008
39,"Quincy , FL",7/28/1977,Florida State,Retired,1,72,"Jackson, Dexter",,210,1999 - 2008
,"Mccamey , TX",10/6/1928,Texas-El Paso,Retired,1,74,"Hansen, Wayne",,231,1950 - 1960
50,"Baltimore , MD",11/27/1966,Louisville,Retired,8,74,"Gardner, Carwell",,240,1990 - 1997
,"Eudora , AL",10/1/1927,Alabama,Retired,5,73,"Cain, Jim",,202,1949 - 1955
58,"Paola , KS",10/25/1958,Kansas,Retired,8,72,"Wattelet, Frank",,185,1981 - 1988
28,,5/21/1989,Oklahoma,Retired,2,73,"Kenney, Cameron",,193,2011 - 2012
45,"High Point , NC",10/16/1971,Virginia,Retired,8,69,"Jeffries, Greg",,195,1993 - 2000
33,,10/24/1983,Georgia Tech,Retired,1,75,"Tarquinio, Gavin",,250,2006 - 2006
57,"Newark , NJ",2/14/1960,Penn State,Retired,1,74,"Parlavecchio, Chet",,225,1983 - 1983
44,"Columbus , IN",4/25/1973,Purdue,Retired,1,75,"Sedoris, Chris",,295,1996 - 1996
75,"Gary , IN",7/5/1941,Indiana,Retired,7,77,"Johnson, John",,260,1963 - 1969
50,"Houston , TX",4/7/1967,Houston,Retired,1,79,"Banes, Joey",,282,1990 - 1990
,"Gainesville , FL",9/1/1946,Louisville,Retired,5,74,"Patrick, Wayne",,254,1968 - 1972
25,,10/29/1991,South Carolina,Retired,2,71,"Lattimore, Marcus",,221,2013 - 2014
33,"Monticello , GA",7/9/1983,Georgia,Retired,3,72,"Thurman, Odell",,235,2005 - 2007
36,"Fremont , OH",11/22/1980,Ohio State,Retired,6,76,"Anderson, Tim",,315,2004 - 2009
24,Naples Italy,4/22/1993,Texas,Active,3,72,"Thompson, Mykkele",DB,193,
29,,3/27/1988,Florida International,Retired,1,70,"Taylor, Nick",,165,2012 - 2012
26,"Kenner , LA",11/29/1990,LSU,Active,4,73,"Barrow, Lamin",LB,237,
,"Pittsburgh , PA",7/3/1918,Manchester,Retired,1,72,"Lieberum, Don",,175,1942 - 1942
55,"San Diego , CA",6/19/1961,Brigham Young,Retired,1,68,"Tiumalu, Casey",,206,1987 - 1987
40,"Greenwood , MS",2/21/1977,Southern Mississippi,Retired,1,71,"Gideon, Sherrod",,171,2002 - 2002
78,"Erie , PA",2/26/1939,Arizona State,Retired,5,76,"Flint, George",,240,1962 - 1968
51,"Sylacauga , AL",2/11/1966,Arizona State,Retired,9,70,"Parker, Anthony",,181,1989 - 1998
27,"Baton Rouge , LA",5/16/1990,Tulane,Active,2,73,"Warmsley, Julius",DE,294,
26,,11/1/1990,West Texas A&M,Retired,1,71,"Castillo, Sergio",,195,2014 - 2014
,"Nutley , NJ",5/19/1904,Lafayette,Retired,5,70,"Kirkleski, Frank",,179,1927 - 1931
47,"Spokane , WA",4/16/1970,Washington,Retired,6,76,"Emtman, Steve",,290,1992 - 1997
60,"Ardmore , OK",11/20/1956,East Central (OK),Retired,1,77,"Gastineau, Mark",,266,1979 - 1988
71,"Miami , FL",11/6/1945,Florida A&M,Retired,1,75,"Finnie, Roger",,245,1969 - 1979
36,"Waycross , GA",12/19/1980,Tuskegee,Retired,1,72,"Florence, Drayton",,200,2003 - 2014
27,,8/16/1989,Toledo,Retired,1,79,"VanDerMeulen, Mike",,304,2012 - 2012
56,"Winter Garden , FL",3/26/1961,Florida,Retired,3,74,"Harris, Roy",,264,1984 - 1987
67,"Mineola , NY",11/1/1949,Penn State,Retired,3,75,"Koegel, Warren",,253,1971 - 1974
78,"Alliance , OH",5/24/1939,Baldwin-Wallace,Retired,2,72,"Goosby, Tom",,235,1963 - 1966
,"Colfax , IA",6/16/1911,Iowa,Retired,1,69,"Laws, Joe",,186,1934 - 1945
36,"Loveland , CO",10/11/1980,Nebraska,Retired,1,70,"Davis, Josh",,200,2004 - 2004
,"Norfolk , VA",3/4/1917,Virginia Military Inst.,Retired,1,72,"Reutt, Ray",,195,1943 - 1943
52,"Saginaw , MI",10/16/1964,Albion,Retired,1,74,"Felton, Joe",,266,1987 - 1987
42,"St. Albans , WV",3/27/1975,Bethune-Cookman,Retired,2,73,"Bass, Anthony",,200,1998 - 1999
22,"Long Beach , CA",1/18/1995,UCLA,Active,1,77,"Redmond, Alex",OG,294,
27,"Richmond , CA",6/15/1989,California,Retired,1,77,"Edwards, Donovan",,280,2011 - 2011
46,"Dawson , GA",1/19/1971,Georgia,Retired,1,72,"Harvey, Frank",,245,1994 - 1994
32,"Oakland , CA",7/15/1984,Utah,Retired,5,69,"Ganther, Quinton",,220,2006 - 2010
32,"Belle Glade , FL",11/25/1984,Nebraska,Retired,4,72,"Octavien, Steve",,255,2008 - 2011
56,,1/31/1961,Williams,Retired,1,76,"McCarthy, John",,212,1987 - 1987
,"Hollidaysburg , PA",7/9/1909,Washington & Jefferson,Retired,1,74,"Rhodes, Don",,225,1933 - 1933
42,"Richmond , VA",9/1/1974,James Madison,Retired,9,76,"Perry, Ed",,265,1997 - 2005
,"Newport News , VA",1/31/1939,Indiana,Retired,6,77,"Faison, Earl",,270,1961 - 1966
29,"Oakland , CA",3/27/1988,Utah State,Retired,1,79,"Johnson, Spencer",,294,2011 - 2011
27,"Midland , TX",12/28/1989,West Texas A&M,Unsigned free agent,4,72,"Robinson, Khiry",RB,220,
,"New York , NY",1/1/1907,N.Y.U.,Retired,1,72,"Nemecek, Jerry",,185,1931 - 1931
64,"Charlotte , NC",4/1/1953,Duke,Retired,1,77,"Jackson, Robert",,255,1975 - 1985
52,"Baton Rouge , LA",1/15/1965,Southern University,Retired,2,72,"Alexander, Jeff",,245,1989 - 1992
36,"Detroit , MI",5/28/1981,Michigan,Retired,6,72,"Orr, Shantee",,246,2003 - 2008
,"Springfield , MO",7/16/1906,No College,Retired,2,71,"Martin, Hersh",,180,1929 - 1930
,"Baltimore , MD",9/13/1895,No College,Retired,1,,"Unitas, Pong",,180,1921 - 1921
34,,2/14/1983,Rutgers,Retired,0,75,"Barnaby, Val",,285,2006 - 2006
23,"Dallas , TX",12/4/1993,Louisiana-Monroe,Active,1,69,"Caldwell, Trey",DB,185,
,"Gary , IN",3/21/1908,Butler,Retired,2,73,"Elser, Earl",,229,1933 - 1934
,"Donora , PA",1/29/1927,Army,Retired,2,74,"Galiffa, Arnie",,193,1953 - 1954
53,"Chicago Heights , IL",1/19/1964,Southern Illinois,Retired,1,78,"Van Dyke, Ralph",,273,1987 - 1987
,"Le Mars , IA",1/18/1930,Loyola Marymount,Retired,1,70,"Klosterman, Don",,180,1952 - 1952
47,,2/21/1970,Virginia,Retired,2,78,"Ware, David",,285,1993 - 1994
32,"Rison , AR",5/19/1985,Arkansas State,Retired,7,72,"Johnson, Tyrell",,207,2008 - 2014
59,"Lockney , TX",9/19/1957,Baylor,Retired,4,76,"Thompson, Arland",,265,1980 - 1987
,"Three Rivers , MA",3/24/1910,Catholic,Retired,1,72,"Ambrose, John",,185,1932 - 1932
51,"Skokie , IL",1/8/1966,Pennsylvania,Retired,7,74,"Novoselsky, Brent",,237,1988 - 1994
44,"Livingston , NJ",11/11/1972,West Georgia,Retired,1,75,"Thomas, Cornell",,250,1994 - 1994
25,,8/12/1991,Kansas State,Retired,1,70,"Pease, Angelo",,211,2013 - 2013
71,"Florence , AL",10/1/1945,Michigan,Retired,1,74,"Nunley, Frank",,229,1967 - 1976
29,,9/8/1987,San Jose State,Retired,1,75,"LaSecla, Jordan",,205,2011 - 2011
53,"Torrance , CA",1/22/1964,Brigham Young,Retired,1,75,"Matau, Chris",,310,1987 - 1987
,"Greensboro , NC",6/8/1919,South Carolina,Retired,2,70,"Keenan, Jack",,214,1944 - 1945
49,"Hamilton , Ontario",11/13/1967,William & Mary,Retired,1,72,"Christie, Steve",,195,1990 - 2004
80,"Shelton , NE",7/27/1936,Oregon,Retired,1,69,"Shanley, Jim",,174,1958 - 1958
26,"Cincinnati , OH",4/20/1991,Boston College,Active,6,75,"Kuechly, Luke",MLB,238,
46,"Ogden , UT",1/6/1971,Utah State,Retired,3,78,"DeVries, Jed",,300,1994 - 1996
63,"San Francisco , CA",5/31/1954,Fresno State,Retired,1,72,"Wender, Jack",,210,1977 - 1977
25,,1/23/1992,Coastal Carolina,Active,2,73,"Hazel, Matt",WR,204,
,"San Antonio , TX",11/17/1914,Baylor,Retired,3,76,"Parry, Ox",,230,1937 - 1939
60,"Montgomery , AL",7/17/1956,Alabama,Retired,1,73,"Davis, Johnny",,235,1978 - 1987
37,"Petersburg , VA",10/1/1979,Auburn,Retired,8,70,"Johnson, Rudi",,225,2001 - 2008
43,"Atlanta , GA",3/22/1974,Virginia,Retired,1,75,"Neely, Bobby",,251,1996 - 1996
25,"Denville , NJ",7/29/1991,Maryland,Retired,1,74,"Farrand, Cole",,229,2015 - 2015
23,"San Antonio , TX",2/12/1994,Memphis,Active,2,79,"Lynch, Paxton",QB,244,
42,"Gardena , CA",12/1/1974,UCLA,Retired,3,74,"Ward, Phillip",,235,1997 - 2000
67,"Washington , PA",10/29/1949,Pittsburgh,Retired,4,73,"Cindrich, Ralph",,228,1972 - 1975
56,"Miami , FL",2/15/1961,Tennessee,Retired,2,70,"Taylor, Lenny",,173,1984 - 1987
56,"Stockton , CA",1/6/1961,Nevada-Las Vegas,Retired,2,70,"Jenkins, Keyvan",,190,1987 - 1988
30,"Spotsylvania , VA",6/6/1987,Wake Forest,Retired,6,72,"Ghee, Brandon",,200,2010 - 2015
51,"Houston , TX",11/6/1965,Oklahoma State,Retired,2,74,"Limbrick, Garrett",,235,1990 - 1991
59,"Lynchburg , VA",4/10/1958,Virginia Tech,Retired,1,74,"Fitzgerald, Mickey",,235,1981 - 1981
51,"Atlanta , GA",12/8/1965,Georgia,Retired,9,77,"Sadowski, Troy",,250,1990 - 1998
59,"Scranton , PA",7/1/1957,Syracuse,Retired,3,67,"Jacobs, Dave",,151,1979 - 1987
,"Spencer , NE",1/28/1913,Nebraska,Retired,4,73,"Scherer, Bernie",,190,1936 - 1939
65,"Oceanside , NY",5/4/1952,Penn State,Retired,2,76,"LaPorta, Phil",,256,1974 - 1975
46,"Elizabethtown , KY",11/28/1970,Kentucky,Retired,1,77,"Perry, Todd",,310,1993 - 2003
29,"Greenwood , SC",3/8/1988,Appalachian State,Retired,5,71,"Edwards, Armanti",,190,2010 - 2014
64,"Los Angeles , CA",8/12/1952,Michigan State,Retired,7,73,"Ane, Charlie",,233,1975 - 1981
39,"Minneapolis , MN",8/18/1977,Minnesota,Retired,1,77,"Hamilton, Ben",,290,2001 - 2010
,"Wellsboro , PA",2/2/1915,Albright,Retired,5,73,"Riffle, Dick",,200,1938 - 1942
29,,3/25/1988,Tennessee-Martin,Retired,1,77,"Gibbs, Joe",,285,2010 - 2012
44,"Fort Campbell , KY",2/2/1973,Virginia,Retired,6,75,"Jeffers, Patrick",,218,1996 - 2001
26,"Dewar , OK",9/17/1990,Oklahoma,Retired,2,74,"Lewis, Ronnell",,253,2012 - 2013
36,"Minot , ND",12/19/1980,Kentucky,Retired,1,69,"Abney, Derek",,180,2004 - 2004
85,"Pueblo , CO",1/2/1932,Colorado,Retired,1,76,"Knafelc, Gary",,217,1954 - 1963
26,"Dayton , OH",3/24/1991,North Dakota State,Active,4,71,"Williams, Marcus",CB,196,
56,"Berkeley , CA",1/15/1961,California,Retired,1,78,"Salem, Harvey",,274,1983 - 1992
57,"Painesville , OH",9/26/1959,Ohio State,Retired,4,73,"Orosz, Tom",,204,1981 - 1984
33,"Imperial , PA",8/9/1983,Pittsburgh,Retired,5,73,"Palko, Tyler",,215,2007 - 2011
75,"Memphis , TN",10/10/1941,Findlay,Retired,2,70,"Barry, Odell",,180,1964 - 1965
53,"Sylacauga , AL",11/13/1963,Alabama,Retired,9,79,"Hand, Jon",,300,1986 - 1994
34,"Los Angeles , CA",4/27/1983,Utah State,Active,1,76,"Penn, Donald",T,315,
68,"New Orleans , LA",3/28/1949,Kentucky State,Retired,1,73,"Martin, Dee",,190,1971 - 1971
,"Morgantown , WV",10/28/1919,Ohio U.,Retired,1,71,"Fekete, John",,200,1946 - 1946
,"Portsmouth , VA",5/17/1912,Duke,Retired,7,72,"Parker, Ace",,178,1937 - 1946
,"Chariton , IA",7/27/1910,Northwestern,Retired,1,73,"Engebretsen, Tiny",,238,1932 - 1941
29,"San Antonio , TX",9/9/1987,Rice,Active,7,73,"Sendejo, Andrew",SS,210,
36,"Midland , TX",7/27/1980,Oklahoma,Retired,2,74,"Norman, Josh",,236,2002 - 2003
26,"Spartanburg , SC",2/18/1991,Clemson,Active,2,75,"Thomas, Brandon",G,317,
,,,Arkansas,Active,1,77,"Loewen, Mitchell",DE,275,
26,"South Miami , FL",8/22/1990,Cincinnati,Active,2,73,"Holton, Johnny",WR,188,
,"New Britain , CT",12/20/1905,No College,Retired,1,,"Zehrer, Henry",,175,1926 - 1926
48,,8/21/1968,Stanford,Retired,1,74,"Young, Charlie",,206,1992 - 1992
47,"Fort Walton Beach , FL",3/8/1970,Hawaii,Retired,1,71,"Elam, Jason",,195,1993 - 2009
30,"San Diego , CA",3/10/1987,Texas A&M,Active,1,78,"Bennett, Martellus",TE,275,
29,"Griffin , GA",10/16/1987,Western Kentucky,Unsigned free agent,6,68,"Rainey, Bobby",RB,212,
34,"Jacksonville , FL",5/1/1983,South Florida,Retired,7,75,"Nicholas, Stephen",,236,2007 - 2013
31,"Richmond , VA",8/30/1985,Virginia Tech,Active,1,76,"Brown, Duane",T,315,
70,"Los Angeles , CA",3/3/1947,San Diego State,Retired,8,75,"Shaw, Dennis",,217,1970 - 1978
45,"Watsonville , CA",5/13/1972,Northeastern,Retired,5,79,"Taves, Josh",,285,1995 - 2002
,"Argenta , AR",5/20/1914,Alabama,Retired,7,73,"Young, Bill",,247,1937 - 1946
27,,3/15/1990,Montana,Retired,2,71,"Sambrano, Jabin",,190,2012 - 2014
74,"Bedford , VA",11/11/1942,Virginia Union,Retired,4,77,"Anderson, Roger",,265,1964 - 1968
29,"Memphis , TN",2/22/1988,Western Michigan,Retired,3,78,"Walker, Dallas",,260,2013 - 2015
,"Spokane , WA",10/11/1897,Wittenberg,Retired,1,70,"Lentz, Pesty",,175,1920 - 1920
34,"Miami , FL",4/17/1983,Central Florida,Retired,6,74,"Jeanty, Rashad",,243,2006 - 2011
83,"Pittsburgh , PA",2/13/1934,Notre Dame,Retired,1,72,"Schaefer, Don",,210,1956 - 1956
62,"San Francisco , CA",1/20/1955,Northern Colorado,Retired,1,76,"Kenney, Bill",,211,1979 - 1988
,"Palmerton , PA",1/13/1928,Tulane,Retired,1,74,"Kinek, George",,190,1954 - 1954
44,"St. Henry , OH",9/7/1972,Penn State,Retired,1,75,"Hartings, Jeff",,299,1996 - 2006
51,"Indianapolis , IN",1/28/1966,Ohio State,Retired,1,75,"Uhlenhake, Jeff",,291,1989 - 1998
32,"Homestead , FL",4/5/1985,Rutgers,Retired,5,74,"Foster, Eric",,265,2008 - 2013
40,"Memphis , TN",3/19/1977,Nebraska,Retired,2,70,"Walker, Joe",,204,2001 - 2002
31,"San Diego , CA",12/24/1985,Michigan State,Retired,6,77,"Nwagbuo, Ogemdi",,312,2008 - 2013
,"Leominster , MA",4/25/1915,Holy Cross,Retired,1,68,"Cahill, Ronnie",,170,1943 - 1943
40,"Portland , OR",1/20/1977,Washington State,Retired,1,75,"Lindell, Rian",,227,2000 - 2013
72,"Toledo , OH",3/15/1945,Michigan,Retired,1,75,"Volk, Rick",,195,1967 - 1978
,"Milwaukee , WI",8/30/1914,Marquette,Retired,1,73,"Schoemann, Roy",,192,1938 - 1938
60,"O'Fallon , MO",8/10/1956,Wichita State,Retired,3,76,"Vincent, Ted",,262,1978 - 1980
43,"Cleveland , OH",5/1/1974,Langston,Retired,6,75,"Hatchette, Matt",,200,1997 - 2003
38,"Tallahassee , FL",7/15/1978,Tulane,Retired,2,71,"Carter, Tim",,184,2001 - 2002
36,"Fresno , CA",2/5/1981,UCLA,Retired,5,75,"Leisle, Rodney",,315,2004 - 2009
48,"Houston , TX",4/3/1969,Georgia,Retired,8,71,"Hampton, Rodney",,228,1990 - 1997
64,"Little Rock , AR",5/30/1953,Grambling State,Retired,8,74,"Scales, Dwight",,178,1976 - 1984
30,"San Francisco , CA",12/12/1986,Oregon,Active,8,70,"Ward, T.J.",SS,200,
,"Bridgeport , CT",2/15/1901,Illinois,Retired,1,70,"Kovacsy, Bill",,195,1923 - 1923
75,"Columbus , OH",9/23/1941,Ohio State,Retired,1,77,"Vogel, Bob",,250,1963 - 1972
36,"Stanhope , NJ",3/6/1981,Temple,Retired,4,75,"Yovanovits, Dave",,300,2003 - 2007
24,"Apple Valley , CA",6/26/1992,San Diego State,Retired,2,76,"Quigley, Bryce",,302,2014 - 2015
52,"Newport , AR",4/25/1965,Arkansas,Retired,1,74,"Young, Theo",,237,1987 - 1987
45,Malmo Sweden,2/24/1972,Texas-El Paso,Retired,1,75,"Kimrin, Ola",,230,2004 - 2006
38,"Pittsburgh , PA",8/15/1978,Moorhead State,Retired,1,73,"Dinkins, David",,215,2002 - 2002
28,,7/31/1988,North Carolina,Retired,1,76,"Barham, Ed",,264,2011 - 2011
60,"Hamilton , OH",6/27/1956,Notre Dame,Retired,1,72,"Becker, Doug",,220,1978 - 1978
28,"Atlanta , GA",5/9/1989,Georgia,Active,7,77,"Boling, Clint",G,305,
26,"Folsom , CA",7/30/1990,Portland State,Retired,2,73,"Rau, Ryan",,235,2012 - 2013
23,"Galloway , NJ",5/8/1994,Penn State,Active,2,76,"Johnson, Austin",NT,314,
,"Passaic , NJ",3/7/1908,Syracuse,Retired,2,72,"Kanya, Al",,200,1931 - 1932
29,"Charleston , WV",9/14/1987,USC,Retired,5,76,"Parsons, Alex",,301,2010 - 2014
70,"Sylacauga , AL",7/20/1946,Tuskegee,Retired,2,71,"Leonard, Cecil",,160,1969 - 1970
,"Millsap , TX",12/11/1913,Southern Methodist,Retired,5,75,"Ranspot, Keith",,205,1940 - 1945
35,"Hopkins , SC",1/17/1982,South Carolina,Retired,5,74,"Laury, Lance",,242,2006 - 2010
35,"Westwood , NJ",6/19/1981,Syracuse,Retired,4,76,"Sampson, Kevin",,312,2004 - 2007
32,"El Dorado , AR",8/2/1984,Arkansas,Retired,0,76,"Parker, Stephen",,303,2007 - 2007
40,"New Orleans , LA",9/29/1976,Purdue,Retired,2,72,"Watson, Edwin",,225,1998 - 1999
26,"Dover , DE",1/24/1991,Rutgers,Active,5,73,"Harmon, Duron",FS,205,
32,,3/20/1985,Syracuse,Retired,1,74,"Madison, Carroll",,308,2008 - 2008
25,"Opelika , AL",12/19/1991,Auburn,Active,3,71,"Grant, Corey",RB,204,
,"Embreeville , PA",12/29/1897,Penn State,Retired,2,68,"Way, Charlie",,144,1921 - 1924
41,"Hammond , LA",10/17/1975,Temple,Retired,7,74,"Chester, Larry",,325,1998 - 2004
67,"Waco , TX",2/10/1950,Rice,Retired,4,73,"Barnes, Rodrigo",,215,1973 - 1976
29,"Katy , TX",10/29/1987,Texas Christian,Active,7,74,"Dalton, Andy",QB,220,
26,"Denver , CO",4/20/1991,Wyoming,Active,4,75,"Purcell, Mike",NT,303,
67,"San Antonio , TX",3/9/1950,Utah State,Retired,5,72,"Adams, Tony",,198,1975 - 1987
,,,Chapman,Retired,1,76,"Ezeakunne, Anthony",,230,2015 - 2015
83,"Bemidji , MN",3/3/1934,Minnesota,Retired,2,74,"Falls, Mike",,240,1960 - 1961
69,"Canton , OH",6/20/1947,Notre Dame,Retired,2,74,"Belden, Bob",,210,1969 - 1970
66,"Glen Cove , NY",12/8/1950,Virginia Tech,Retired,2,77,"Ellenbogen, Bill",,258,1976 - 1977
37,"Los Angeles , CA",7/24/1979,San Jose State,Retired,8,69,"Davis, Rashied",,187,2005 - 2012
,"St. Paul , MN",6/20/1916,Minnesota,Retired,1,75,"Kilbourne, Wally",,240,1939 - 1939
,"New York , NY",2/8/1908,Fordham,Retired,2,73,"Cannella, John",,199,1933 - 1934
32,,4/14/1985,Fresno State,Retired,1,72,"Riley, Marcus",,233,2008 - 2008
23,"Carson , CA",8/5/1993,Washington,Active,2,75,"Perkins, Josh",TE,227,
47,"Checotah , OK",9/11/1969,Tulsa,Retired,1,75,"Scroggins, Tracy",,273,1992 - 2001
24,"Indianapolis , IN",4/29/1993,Notre Dame,Active,2,76,"Martin, Nick",C,299,
25,,9/3/1991,Northern Michigan,Retired,1,75,"Anderson, Chad",,321,2014 - 2014
28,,6/7/1989,California,Retired,1,75,"Calvin, Michael",,215,2012 - 2012
41,"Orlando , FL",6/26/1975,Temple,Retired,5,73,"Mack, Stacey",,241,1999 - 2003
67,"Fort Worth , TX",3/23/1950,Miami (Fla.),Retired,4,73,"Palewicz, Al",,215,1973 - 1977
55,"Baltimore , MD",1/6/1962,Towson,Retired,2,72,"Landeta, Sean",,215,1985 - 2006
72,"Laramie , WY",7/22/1944,Oregon,Retired,1,73,"Matson, Pat",,245,1966 - 1975
46,"Milwaukee , WI",10/27/1970,Wisconsin,Retired,4,74,"Belin, Chuck",,305,1993 - 1996
42,"Miami , FL",7/15/1974,Miami (Fla.),Retired,2,68,"Gaiter, Tony",,170,1997 - 1998
62,"Auburn , NY",10/21/1954,Iowa State,Retired,2,72,"Hardeman, Buddy",,196,1979 - 1980
,"De Leon , TX",12/23/1901,Baylor,Retired,1,70,"Pittman, Ralph",,200,1926 - 1926
26,"Slidell , LA",1/4/1991,Louisiana-Lafayette,Retired,2,76,"Maxwell, Jacob",,240,2014 - 2015
,"New York , NY",9/23/1900,Navy,Retired,2,74,"Carney, Art",,230,1925 - 1926
38,"Los Angeles , CA",11/7/1978,Notre Dame,Retired,1,67,"Getherall, Joey",,177,2002 - 2002
,"Trenton , UT",8/30/1927,U. of Pacific,Retired,3,75,"Campora, Don",,268,1950 - 1953
34,"Auburndale , FL",1/27/1983,Florida State,Retired,8,74,"Davis, Chauncey",,271,2005 - 2012
26,Johannesburg South Africa,7/11/1990,Utah,Retired,1,75,"Sellwood, Sean",,203,2013 - 2013
33,"Conley , GA",12/3/1983,Auburn,Retired,5,77,"Palmer, Jonathan",,338,2007 - 2012
80,"Hastings , NE",2/23/1937,Hastings,Retired,2,75,"Osborne, Tom",,190,1960 - 1961
35,,6/4/1982,South Carolina,Retired,1,72,"Eiland, Deandre'",,207,2004 - 2006
32,"Thousand Oaks , CA",6/2/1985,Arizona State,Retired,0,74,"Ainsworth, Jesse",,218,2007 - 2007
89,"Gary , IN",9/19/1927,Purdue,Retired,3,76,"Karras, Lou",,241,1950 - 1952
30,,11/11/1986,Holy Cross,Retired,1,75,"Randolph, Dominic",,223,2010 - 2010
44,"Southington , CT",9/28/1972,Glenville State,Retired,1,77,"Otis, Scott",,230,1996 - 1996
36,"Madison , WI",10/14/1980,North Carolina State,Retired,9,78,"Kooistra, Scott",,335,2003 - 2011
45,"San Diego , CA",8/7/1971,San Diego State,Retired,1,72,"Johnson, Chris",,205,1996 - 1996
34,"Burns , OR",6/6/1983,Oregon,Active,1,74,"Clemens, Kellen",QB,220,
35,"Cleburne , TX",8/10/1981,Northwest Missouri State,Retired,3,70,"Rector, Jamaica",,187,2006 - 2008
38,"Faribault , MN",5/16/1979,Mount Union,Retired,1,70,"Kern, Chris",,196,2004 - 2004
56,"New York , NY",2/2/1961,South Carolina,Retired,1,73,"Vogel, Paul",,220,1987 - 1987
26,"Deland , FL",11/1/1990,Florida,Active,4,71,"Gillislee, Mike",RB,219,
42,"Miami , FL",6/14/1974,Michigan,Retired,2,76,"Payne, Rod",,305,1997 - 1998
26,,11/27/1990,North Carolina State,Retired,1,75,"Wentz, Camden",,305,2013 - 2013
34,"St. Petersburg , FL",8/20/1982,South Florida,Retired,4,70,"Hall, Andre",,212,2006 - 2009
52,"Albany , GA",6/25/1964,Wisconsin,Retired,6,74,"Reid, Michael",,226,1987 - 1992
55,"Compton , CA",6/15/1961,Washington State,Retired,1,69,"Harris, Tim",,206,1983 - 1983
34,"Houston , TX",11/13/1982,Grambling State,Retired,4,76,"Pettway, Kenneth",,248,2005 - 2008
28,"Charlotte , NC",11/1/1988,East Carolina,Retired,4,74,"Lewis, Lance",,207,2012 - 2015
,"Dayton , OH",9/25/1895,Christian Brothers (MO),Retired,4,69,"Sacksteder, Norb",,173,1920 - 1925
30,,10/30/1986,Minnesota State,Retired,2,75,"Battles, Adrian",,318,2010 - 2011
,"Ashland , KY",12/16/1922,Kentucky,Retired,4,73,"Rhodemyre, Jay",,210,1948 - 1952
34,"Omaha , NE",10/20/1982,Washington,Retired,6,77,"Toledo, Joe",,330,2006 - 2011
38,"Columbia , SC",5/17/1979,Georgia Southern,Retired,1,73,"Young, David",,209,2003 - 2003
44,"Lancaster , CA",4/27/1973,Brigham Young,Retired,1,80,"Knight, William",,340,1996 - 1996
34,"Rancho Cucamonga , CA",7/7/1982,Oklahoma,Retired,4,76,"Ah You, C.J.",,265,2007 - 2011
41,"Washington , DC",9/12/1975,William & Mary,Retired,3,74,"Waddy, Jude",,230,1998 - 2003
28,,11/3/1988,Unknown,Retired,1,76,"Ihekwoaba, Chima",,260,2010 - 2010
24,,4/1/1993,Arizona,Active,1,75,"Gilbert, Reggie",LB,261,
37,"Portland , OR",11/11/1979,Oregon State,Retired,5,74,"Allen, James",,245,2002 - 2006
30,"Birmingham , AL",11/14/1986,Alabama-Birmingham,Active,8,76,"Webb, Joe",QB,235,
,,,Baldwin-Wallace,Retired,1,77,"Darbut, Keith",,235,2011 - 2011
,"Lawrence , MA",12/5/1894,Holy Cross,Retired,2,70,"Devlin, Mark",,180,1920 - 1921
,"Savannah , GA",1/5/1924,Southeastern Louisiana,Retired,5,70,"Davis, Jerry",,178,1948 - 1952
26,"Nashville , TN",7/7/1990,Middle Tennessee State,Active,5,70,"Cunningham, Benny",RB,217,
44,"Hanover , PA",6/7/1973,Rutgers,Retired,1,76,"Barr, Robert",,316,1996 - 1996
